0,36,57,71,37,4,14,14,18,72,50,29,15,11,0,5,0,8,43,49,42,73,53,64,3,4,7,6,3,16,6,7,1,1,30,26,9,32
1,27,37,61,18,8,11,12,29,41,53,55,48,1,0,2,0,5,31,49,39,60,29,41,4,3,10,16,4,13,0,0,0,0,11,13,8,27
2,30,36,41,15,3,6,12,13,59,36,27,20,2,3,4,0,2,40,46,35,56,18,37,11,0,9,5,2,9,6,0,0,0,16,14,4,20
3,14,15,35,9,8,4,2,6,46,38,40,27,17,1,11,0,1,18,19,29,32,27,34,10,2,3,3,2,14,3,0,0,0,10,4,5,11
4,30,15,40,13,6,10,15,11,21,23,27,30,11,6,0,0,8,23,22,23,27,15,18,2,5,10,10,5,16,4,0,0,0,3,14,2,7
5,8,18,41,19,0,0,4,8,37,23,14,18,10,0,1,0,0,16,16,17,32,29,35,3,1,5,6,1,8,2,0,0,0,10,6,3,1
6,7,11,17,9,3,5,1,10,32,20,20,9,10,0,5,3,2,18,18,15,28,19,29,5,3,5,5,0,16,6,1,0,0,10,4,3,14
7,9,14,19,8,2,7,3,10,28,16,10,19,4,0,1,0,3,12,11,18,31,26,47,5,1,6,10,0,3,1,0,0,0,2,2,1,15
8,12,21,10,9,4,7,1,9,36,18,9,10,11,0,3,0,1,7,7,25,28,35,15,4,1,2,4,0,11,2,0,2,0,1,5,1,4
9,7,11,15,10,11,5,3,6,11,15,6,12,10,5,2,0,1,11,8,17,17,18,30,5,0,5,4,0,1,3,3,0,0,4,0,0,14
10,6,9,15,6,7,4,2,7,15,17,11,0,5,2,1,0,2,8,8,19,29,17,23,2,1,1,12,0,4,0,1,1,0,4,10,1,8
11,21,9,16,4,0,2,2,12,24,6,14,15,5,0,0,0,1,12,13,34,29,20,31,4,0,2,11,0,5,0,0,3,1,6,0,3,5
12,13,4,11,16,1,6,4,4,15,24,18,6,9,1,1,0,2,4,6,14,15,24,21,1,2,5,8,1,15,0,3,3,0,9,2,4,4
13,7,3,14,6,9,2,0,9,19,13,9,7,4,0,0,0,6,6,5,21,20,19,14,3,0,4,2,0,3,0,2,0,0,2,5,2,2
14,14,14,19,2,6,4,5,10,30,27,13,8,3,4,6,0,6,19,9,29,41,33,21,3,1,1,1,1,2,2,0,0,0,3,7,4,9
15,6,9,24,6,0,2,0,12,23,8,17,10,7,0,0,0,3,12,11,31,34,27,26,5,1,5,4,1,5,1,0,0,0,23,13,9,8
16,6,2,13,6,7,0,5,1,22,12,6,3,5,0,1,0,0,5,7,26,32,20,15,3,1,0,0,1,6,3,1,1,0,3,2,6,11
17,21,4,18,6,7,0,2,11,23,21,8,13,6,0,3,0,5,6,8,21,33,26,7,3,3,4,7,2,16,4,0,2,0,6,1,10,8
18,16,18,21,9,2,0,6,14,42,21,11,9,4,0,1,0,3,15,20,36,41,32,19,3,3,1,1,0,7,1,0,0,0,14,8,5,17
19,11,8,22,10,2,6,4,17,21,29,17,14,7,1,2,1,13,25,25,43,45,31,36,5,4,4,5,0,3,0,2,1,0,12,10,5,15
20,14,16,35,10,4,6,6,8,38,28,14,10,11,0,0,0,13,14,18,55,49,44,20,12,2,1,3,0,0,0,0,0,0,20,9,6,10
21,9,18,19,13,4,2,1,11,37,20,10,7,13,1,1,0,7,20,18,47,67,38,17,6,1,0,1,0,7,0,1,1,0,5,15,7,15
22,10,9,17,5,6,0,6,7,37,22,13,9,9,1,3,2,4,12,18,39,64,45,37,2,0,2,2,2,5,5,2,0,0,8,9,4,10
23,33,22,36,10,6,3,10,13,44,36,24,18,11,1,3,0,0,22,23,61,90,47,27,7,1,3,12,0,4,2,1,2,0,11,14,5,25
24,8,21,24,11,2,2,6,18,39,43,19,17,1,1,2,0,1,21,22,55,65,36,38,8,0,3,7,0,5,1,0,0,0,9,4,7,16
25,21,17,22,9,5,6,3,6,39,16,10,14,4,2,4,0,5,20,28,50,81,50,34,2,0,4,3,0,1,3,0,0,1,12,9,8,25
26,29,17,39,22,7,3,12,20,44,17,19,6,12,1,3,2,12,21,17,52,91,50,47,7,0,1,6,1,7,4,2,2,0,14,8,5,28
27,22,36,37,17,7,0,13,34,75,43,20,21,10,6,0,1,6,43,29,88,110,56,53,2,1,4,5,3,12,0,0,0,1,8,10,4,19
28,14,29,51,22,4,10,7,28,68,29,26,19,13,1,2,0,7,36,28,94,104,37,43,12,5,1,3,6,3,0,1,0,0,16,19,10,51
29,50,39,19,10,16,10,22,13,58,29,5,6,9,1,1,0,3,25,40,81,76,75,54,4,0,0,1,2,3,0,0,0,0,21,12,6,23
30,30,27,35,8,12,7,15,34,63,40,22,16,16,1,3,3,18,32,28,87,129,55,65,4,5,4,5,0,1,0,0,0,0,26,12,20,45
31,41,26,49,15,10,11,12,50,77,29,12,21,6,0,0,3,4,35,23,93,132,77,56,3,0,3,3,0,7,1,0,0,0,11,16,14,34
32,31,28,20,16,5,6,11,16,59,23,14,17,6,2,1,5,6,18,23,81,108,41,42,9,3,2,5,1,6,1,2,0,0,10,8,7,26
33,20,32,30,11,1,7,7,21,49,34,8,5,19,1,5,0,0,31,37,85,140,67,46,4,0,1,2,5,5,5,7,1,0,12,23,10,28
34,29,37,28,8,8,6,5,24,102,21,10,17,10,1,1,0,1,34,25,66,93,60,46,12,0,1,2,5,9,2,4,3,0,9,13,12,24
35,18,28,39,26,8,7,2,27,75,44,15,17,23,1,3,0,5,30,29,100,127,63,68,9,1,4,2,2,16,2,5,0,0,12,14,12,25
36,22,50,57,25,3,3,10,20,108,45,21,27,15,4,1,0,8,46,23,85,105,90,63,11,0,0,4,0,7,4,0,0,0,19,11,10,21
37,24,25,43,15,0,3,10,16,86,62,33,13,3,0,0,0,11,41,17,93,129,64,50,8,1,4,4,3,2,2,0,0,0,10,5,26,36
